where	who	kind	form	gloss
(31)	PS	cited form	*k‟ap‟-uc	'grasping-mouth', the cognate of k‟ap-uc, from Ku02:42,203
(32)	Nuxalk	cited form	k‟ay	'snow'
(32)	PS	cited form	*k‟ay	'cold', the cognate of k‟ay, from Ku02:43
(33)	Nuxalk	cited form	k‟lay	'bark of western birch'
(33)	PS	cited form	*k‟əl-ay‟	'treebark', the cognate of k‟lay, from Ku02:40
(34)	Nuxalk	cited form	k‟ʷucxi	'maggot'
(34)	PS	cited form	*k‟ʷǝc‟-xən	'twisting-foot', the cognate of k‟ʷucxi, from Ku02:48,211
(35)	Nuxalk	cited form	ɬm:k‟m-ani	'weasel'
(35)	PS	cited form	*ɬk‟(a)m	the cognate of ɬm:k‟m-ani, from Ku02:57
(36)	Nuxalk	cited form	milixʷ	'kinnikinnick, whose dried leaves were smoked'
(36)	PS	cited form	*maləx(ʷ)	'to smoke (tobacco)', the cognate of milixʷ, from Ku02:69
(36)	PS	cited form	manəx(ʷ)	'to smoke (tobacco)', the variant cognate of milixʷ
(37)	Nuxalk	cited form	pilik‟t	'eel, lamprey'
(37)	PS	cited form	*p‟ǝl(i)k‟-t	'turner, twister', the cognate of pilik‟t, from Ku02:79
(38)	Nuxalk	root	√pq‟ʷ	'powdery snow'
(38)	PS	cited form	*p(‟)ǝq‟ʷ	'scatter, powder', the cognate of √pq‟ʷ, from Ku02:75
(39)	Nuxalk	cited form	p‟ani-ɬp	'mountain alder'
(39)	PS	cited form	*p‟an(i)	'misc. trees/plants', the cognate of p‟ani-ɬp, from Ku02:81
(40)	Nuxalk	cited form	p‟χʷ-ɬt	'bunchberries'
(40)	PS	cited form	*p‟u/əqʷ-	'non-spec. berry', the cognate of p‟χʷ-ɬt, from Ku02:81
(41)	Nuxalk	cited form	qʷuc‟-ik	'wolverine'
(41)	PS	cited form	*q‟ʷuc(‟)-ik	'fat-skinned', the cognate of qʷuc‟-ik, from Ku02:95,204
(42)	Nuxalk	cited form	qʷals	'hemlock needles'
(42)	PS	cited form	*qʷalc	'conifer bough', the cognate of qʷals, from Ku02:92
(43)	Nuxalk	cited form	s-ʔix-k‟ʷxʷ	'bushtail rat'
(43)	PS	cited form	*k‟ʷa/əxʷ	'rat, mouse', the cognate of s-ʔix-k‟ʷxʷ, from Ku02:51
(44)	Nuxalk	cited form	s-kʷupik	'rosehip'
(44)	PS	cited form	*s-kʷup-ik	'stuffed center', the cognate of s-kʷupik, from Ku02:46,204
(45)	Nuxalk	cited form	s-kʷatiwa	'imaginary monster'
(45)	PS	cited form	*kʷu/atwan	'eel', the cognate of s-kʷatiwa, from Ku02:47
(46)	Nuxalk	cited form	s-k‟aw-ɬt	'dead alder tree'
(46)	PS	cited form	*k‟aw	'old, decrepit', the cognate of s-k‟aw-ɬt, from Ku02:43
(47)	Nuxalk	cited form	s-k‟ilxc	'goldeneye duck'
(47)	PS	cited form	*s-k‟il=lx-c	'cut away-beak', the cognate of s-k‟ilxc, from Ku02:40,203
(48)	Nuxalk	cited form	s-k‟i-nwas	'cloud'
(48)	PS	cited form	*k‟ǝɬ/l	'drip, rain', the cognate of s-k‟i-nwas, from Ku02:41
(49)	Nuxalk	cited form	s-k‟ʷul-t	'porcupine quill'
(49)	PS	cited form	*k‟ʷəl‟	the cognate of s-k‟ʷul-t, from Ku02:48
(50)	Nuxalk	cited form	s-ɬip‟-n-ak-t	'branch'
(50)	PS	cited form	*ɬǝp‟	'hang bent/folded', the cognate of s-ɬip‟-n-ak-t, from Ku02:59
(51)	Nuxalk	cited form	s-pyu	'auklet'
(51)	PS	cited form	*s-pyuʔ	'bird', the cognate of s-pyu, from Ku02:78
(52)	Nuxalk	cited form	s-qʷal=lst	'green type of rock'
(52)	PS	cited form	*kʷǝl	'green', the cognate of s-qʷal=lst, from Ku02:44
(53)	Nuxalk	cited form	st‟n	'nits'
(53)	PS	cited form	*(k‟ə)st‟an‟	the cognate of st‟n, from Ku02:43
(54)	Nuxalk	cited form	su:q‟ʷuuχin	'tadpole'
(54)	PS	cited form	*s-u:q‟ʷu(m)-qin	'large head', the cognate of su:q‟ʷuuχin, from Ku02:97,208
(55)	Nuxalk	cited form	sχʷa:χʷa	'mud'
(55)	PS	cited form	*sǝʕʷ	'flow, wetness', the cognate of sχʷa:χʷa, from Ku02:102
(56)	Nuxalk	cited form	takʷs	'willow grouse'
(56)	PS	cited form	*takʷ	the cognate of takʷs, from Ku02:103
(57)	Nuxalk	cited form	ƛ‟aq‟an	'snail'
(57)	PS	cited form	*q‟aƛ‟an/ƛ‟aq‟an	the cognate of ƛ‟aq‟an, from Ku02:90,144
(58)	Nuxalk	cited form	tmxʷ	'river'
(58)	PS	cited form	*tmixʷ	'nature, earth, river', the cognate of tmxʷ, from Ku02:105
(59)	Nuxalk	cited form	ca:ctaw-ɬp	'red cedar'
(59)	PS	cited form	*cataw	the cognate of ca:ctaw-ɬp, from Ku02:138
(60)	Nuxalk	cited form	c‟lkt	'bald eagle'
(60)	PS	cited form	*c‟ǝl=l-ik-t	'shaded body', the cognate of c‟lkt, compare Ku02:29
(61)	Nuxalk	cited form	c‟yaaχʷ	'flicker (bird)'
(61)	PS	cited form	*c‟yaqʷ	the cognate of c‟yaaχʷ, from Ku02:34
(62)	Nuxalk	cited form	t‟a:t‟k-ana-ɬp	'yellow pond lily'
(62)	PS	cited form	*t‟ək-ana-	'supported (by water, i.e. floating) ear', the cognate, from Ku02:109,206
(63)	Nuxalk	cited form	wiɬ:wiɬ	'mica'
(63)	PS	cited form	*wǝl	'shiny, bright', the cognate of wiɬ:wiɬ, from Ku02:114
(64)	Nuxalk	cited form	χlam-an-ta	'animal's den'
(64)	Secwepemctsin	cited form	χl-em	'build a log cabin', the Shuswap cognate of χlam-an-ta, from Ku74:253
(65)	Nuxalk	cited form	χʷa:χʷi	'eggs of housefly'
(65)	PS	cited form	*χʷay(-aʔ)	'fly, maggot', the cognate of χʷa:χʷi, from Ku02:122
(66)	Nuxalk	cited form	χʷn:χʷnm	'hummingbird'
(66)	PS	cited form	*χʷən	'buzz, hum', the cognate of χʷn:χʷnm, from Ku02:128
(67)	Nuxalk	cited form	yanc	'driftwood'
(67)	PS	cited form	*yan(u)c	the cognate of yanc, from Ku02:131
§2.2.2	Hank Nater	notation	/CV(R(V))C/	the Salish maximal root structure some Bella Coola terms exceed
§2.2.2	Hank Nater	heading	BC Gloss Pre-BC Epithet	the head of the epithet table
§2.2.2	Nuxalk	cited form	ʔan:k’pc	'mouse', in the epithet table
§2.2.2	Nuxalk	underlying	*k’anp’-c	'with chiseling mouth', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	k’apuc	'sucker fish', in the epithet table
§2.2.2	Nuxalk	underlying	*k’ap’-uc	'with grasping mouth', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	k’ʷucxi	'maggot', in the epithet table
§2.2.2	Nuxalk	underlying	*k’ʷuc’-x	'with twisting foot, that is lower body', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	pilik’t	'eel', in the epithet table
§2.2.2	Nuxalk	underlying	*p’	'with twisting demeanour', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	qʷuluci	'skunk', in the epithet table
§2.2.2	Nuxalk	underlying	*qʷul-ucin	'with marked edges, that is stripes', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	qʷu:qʷuulikn	'porpoise', in the epithet table
§2.2.2	Nuxalk	underlying	*qʷul-ik	'with marked back', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	qʷuc’ik	'wolverine', in the epithet table
§2.2.2	Nuxalk	underlying	*q’ʷuc(’)-ik	'with stout or solid surface, that is skin', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	qʷaaχ:qʷ-ik-ɬp	'mountain ash', in the epithet table
§2.2.2	Nuxalk	underlying	*qʷaχʷ-ik-ɬp	'plant with grey surface, that is bark', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	q’ʷwaaχ	'old mountain goat', in the epithet table
§2.2.2	Nuxalk	underlying	*q’ʷu(y)-aʔq	'with weakening crotch, that is stamina', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	sxʷpaniɬ	'whitetail deer', in the epithet table
§2.2.2	Nuxalk	underlying	*s-xʷ	'with unfolded, that is exposed, genital area', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	skʷupik	'rosehip', in the epithet table
§2.2.2	Nuxalk	underlying	*s-kʷup-ik	'with stuffed center', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	sk’ilxc	'goldeneye duck', in the epithet table
§2.2.2	Nuxalk	underlying	*s-k’il=lx-c	'with strip cut away, the white mark, behind beak', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	su:q’ʷuuχin	'tadpole', in the epithet table
§2.2.2	Nuxalk	underlying	*s-q’ʷu(m)-qin	'with large head', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	c’lkt	'bald eagle', in the epithet table
§2.2.2	Nuxalk	underlying	*c’	'with shaded body', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	t’a:t’kana-ɬp	'yellow pond lily', in the epithet table
§2.2.2	Nuxalk	underlying	*t’	'plant with supported ear, the floating leaf', the pre-Bella Coola epithet
§2.2.2	Nuxalk	cited form	k’ʷult	'any type of porpoise', item 75 in section 2.2.3
§2.2.2	PS	cited form	*qʷul	'to mark', from 'to use powder for marking'
§2.2.2	Nuxalk	cited form	qʷuɬ	'to write', item 304 in section 2.3.1
§2.2.3	Hank Nater	heading	Areal cognates	section 2.2.3
(68)	Nuxalk	cited form	ʔasxʷ	'seal'
(68)	CS	cited form	*ʔasxʷ	the Coast Salish cognate of ʔasxʷ, from Ku02:136
(68)	North Wakashan	root	√sa(ʔ)kʷ	the North Wakash cognate of ʔasxʷ, from LR80:175
(69)	Nuxalk	cited form	haʔm	'pigeon'
(69)	Heiltsuk	cited form	haʔ	the Heiltsuk cognate of haʔm, from Ra10:9284
(69)	Nootka	cited form	hiʔíˑb	the Nootka cognate of haʔm, from Da02:408
(69)	Yurok	cited form	heʔmiʔ	the Yurok cognate of haʔm, from Bl03:12
(69)	Lillooet	cited form	hámiwaz‟	the Lillooet cognate of haʔm, from DE12:23
(70)	Nuxalk	cited form	klaxʷ	'muskrat'
(70)	PS	cited form	*PS kəlaxʷ	the proto-Salish cognate of klaxʷ
(70)	Kwakiutl	cited form	kεlákw	the Kwakiutl cognate of klaxʷ, from Ku02:36
(71)	Nuxalk	cited form	kʷa:kʷas	'small type of owl'
(71)	Lillooet	cited form	s-kʷákʷakʷ	the Lillooet cognate of kʷa:kʷas, from DE12:20
(71)	Heiltsuk	cited form	gʷágʷúmá	the Heiltsuk cognate of kʷa:kʷas, from Ra10:5765
(72)	Nuxalk	cited form	k‟am-was	'young beaver'
(72)	Nuxalk	cited form	k‟m-anwas	'young beaver', the variant
(72)	CS	cited form	*CS k‟am	'beaver', the Coast Salish cognate
(72)	Kwakiutl	cited form	k‟m-iwa	'young land otter', the Kwakiutl cognate, from Ku02:140
(73)	Nuxalk	cited form	k‟ipt	'red elderberry'
(73)	CS	cited form	*CS k‟ipt	the Coast Salish cognate of k‟ipt
(73)	North Wakashan	root	√k‟ip	the North Wakash cognate of k‟ipt, from Ku02:140
(74)	Nuxalk	cited form	k‟ʷuxani	'butter clam'
(74)	CS	cited form	*CS k‟ʷuxʷaniʔ	the Coast Salish cognate of k‟ʷuxani, from Ku02:142
(74)	Heiltsuk	cited form	k‟ʷúxʷání	the Heiltsuk cognate of k‟ʷuxani, from Ra10:6032
(75)	Nuxalk	cited form	k‟ʷult	'porpoise'
(75)	Squamish	cited form	k‟ʷúnut‟	the Squamish and Sechelt cognate, from Ku67:346 and Ti77:10
(75)	Kwakiutl	root	√k‟uɬ	the Kwakiutl cognate of k‟ʷult, from LR80:250
(76)	Nuxalk	cited form	maq‟ʷanc	'heron'
(76)	PS	cited form	*(s-)məq‟ʷaʔ	the proto-Salish cognate of maq‟ʷanc
(76)	Kwakiutl	cited form	maq‟ʷns	the Kwakiutl cognate of maq‟ʷanc, from Ku02:69
(77)	Nuxalk	cited form	mayas	'raccoon'
(77)	Heiltsuk	cited form	máyás	the Heiltsuk cognate of mayas
(77)	CS	cited form	*məlus	the Coast Salish cognate of mayas, from Ku02:144
(78)	Nuxalk	cited form	mik‟ʷɬ	'salalberry'
(78)	CS	cited form	*mik‟ʷəɬ	the Coast Salish cognate of mik‟ʷɬ, from Ku02:144
(78)	Haisla	cited form	nk‟ʷɬ	the Haisla cognate of mik‟ʷɬ, from LR86:277
(79)	Nuxalk	cited form	nuχʷski	'soapberries'
(79)	PS	cited form	*nu-χʷəs-(i)kən	'being foamy inside', the cognate, from Ku02:129,204
(79)	Kwakiutl	cited form	nχʷskn	the Kwakiutl cognate of nuχʷski, from LR80:124
(79)	Southern Carrier	cited form	nowəs	the Southern Carrier cognate of nuχʷski, from Na74
(80)	Nuxalk	cited form	p‟wi	'halibut'
(80)	Heiltsuk	cited form	p‟uái	the Heiltsuk cognate of p‟wi
(80)	Nootka	cited form	p‟oˑʔi	the Nootka cognate of p‟wi
(80)	CS	cited form	*p‟əway‟	the Coast Salish cognate of p‟wi, from Ku02:148
(81)	Nuxalk	cited form	qʷulun	'beaver'
(81)	Heiltsuk	cited form	qʷúlúnn	the Heiltsuk cognate of qʷulun, from Ra10:7357
(81)	PS	cited form	*s-qəlaw‟	the proto-Salish cognate of qʷulun, from Ku02:83
(82)	Nuxalk	cited form	q‟ʷlitq	'seagull'
(82)	CS	cited form	*q‟ʷəlitəq	the Coast Salish cognate of q‟ʷlitq, compare Ku67:365
(82)	Nootka	cited form	qʷalit-q-	the Nootka cognate of q‟ʷlitq, from Da02:437
(83)	Nuxalk	cited form	s-mɬk	'fish, salmon'
(83)	PS	cited form	*s-mɬik	the proto-Salish cognate of s-mɬk
(83)	Oowekyala	cited form	mɬik	'sockeye', the Oowekyala cognate of s-mɬk, from Ku02:68
(83)	Wiyot	cited form	boɬàk	'salmon', the Wiyot cognate of s-mɬk, from Go75:11
(84)	Nuxalk	cited form	s-qapc	'old springsalmon'
(84)	PS	cited form	*qap(c/s)	the proto-Salish cognate of s-qapc
(84)	Heiltsuk	cited form	qáps	the Heiltsuk cognate of s-qapc, from Ku02:85
(85)	Nuxalk	cited form	s-t‟ls	'highbush cranberry'
(85)	PS	cited form	*t‟əls	the proto-Salish cognate of s-t‟ls
(85)	North Wakashan	root	√t‟ls	the North Wakash cognate of s-t‟ls, from Ku02:110
(86)	Nuxalk	cited form	caɬ	'lake'
(86)	CS	cited form	*cal‟aɬ	the Coast Salish cognate of caɬ, from Ku02:137
(86)	Kwakiutl	cited form	ʒl‟aɬ	the Kwakiutl cognate of caɬ, from LR80:135
(87)	Nuxalk	cited form	c‟ayχ	'fireweed'
(87)	PS	cited form	*c‟ayχ	the proto-Salish cognate of c‟ayχ
(87)	Haisla	cited form	c‟aχm	the Haisla cognate of c‟ayχ, from Ku02:34
(88)	Nuxalk	cited form	ʔu:k‟ʷuk‟	'skunk cabbage'
(88)	CS	cited form	*k‟ʷuk‟ʷ	the Coast Salish cognate of ʔu:k‟ʷuk‟
(88)	Heiltsuk	cited form	k‟ʷk‟ʷúk‟ʷ	the Heiltsuk cognate of ʔu:k‟ʷuk‟, from Ku02:141
§2.2.4	Hank Nater	heading	NS cognates	section 2.2.4
§2.2.4	Hank Nater	notation	/CVCCV/	one of the un-Salish Bella Coola structures
§2.2.4	Hank Nater	notation	/CVCVC/	one of the un-Salish Bella Coola structures
§2.2.4	Hank Nater	notation	/CCVCV/	one of the un-Salish Bella Coola structures
(89)	Nuxalk	cited form	ʔaʔnna	'hooded merganser'
(89)	Haisla	cited form	ʔaʔahnà	'kind of seabird', the Haisla cognate of ʔaʔnna
(90)	Nuxalk	cited form	ʔa:qʼmiiχa-ɬp	'cottonwood'
(90)	Haisla	cited form	qʼàmiqʼas	the Haisla cognate of ʔa:qʼmiiχa-ɬp
(90)	Haisla	root	√q‟a	the Haisla root of qʼàmiqʼas
(91)	Nuxalk	cited form	ʔat	'herring eggs'
(91)	North Wakashan	root	√ʔnt	the North Wakash cognate of ʔat
(91)	North Wakashan	cited form	ʔaʔnt	the North Wakash cognate of ʔat
(92)	Nuxalk	cited form	ʔa:ƛ‟anuɬ	'gooseberry'
(92)	Haisla	cited form	ƛ‟à:ƛ‟anuɬ	the Haisla cognate of ʔa:ƛ‟anuɬ
(92)	Haisla	root	√ƛ‟x	the Haisla root of ƛ‟à:ƛ‟anuɬ
(93)	Nuxalk	cited form	ʔacaya	'fox'
(93)	Heiltsuk	cited form	áˑcaʔya	the Heiltsuk cognate of ʔacaya, from N73:209
(94)	Nuxalk	cited form	ʔa:t‟maakʷ	'kingfisher'
(94)	Haisla	cited form	t‟as:t‟màk‟ʷ	the Haisla cognate of ʔa:t‟maakʷ
(94)	Haisla	root	√t‟m	the Haisla root of t‟as:t‟màk‟ʷ
(95)	Nuxalk	cited form	ʔaχʷni	'thrush'
(95)	Heiltsuk	cited form	hχʷ:hχʷní	the Heiltsuk cognate of ʔaχʷni
(95)	Heiltsuk	root	√hχʷ	the Heiltsuk root of hχʷ:hχʷní
(96)	Nuxalk	cited form	ʔay:c‟aym	'type of kelp'
(96)	Heiltsuk	cited form	c‟á:c‟áy	'eelgrass', the Heiltsuk cognate of ʔay:c‟aym
(97)	Nuxalk	cited form	xʷnaɬ	'well, spring'
(97)	North Wakashan	cited form	xʷnis	the North Wakash cognate of xʷnaɬ
(97)	North Wakashan	root	√xʷn	the North Wakash root of xʷnis
(98)	Nuxalk	cited form	ʔiχ:iχi	'snow goose'
(98)	Heiltsuk	cited form	χíχiχi	'northern goose', the Heiltsuk cognate of ʔiχ:iχi
(98)	Heiltsuk	root	√χi	the Heiltsuk root of χíχiχi
(99)	Nuxalk	cited form	kan:ani	'bracket fungus'
(99)	Heiltsuk	cited form	kánán‟a	the Heiltsuk cognate of kan:ani
(99)	Heiltsuk	root	√kn	the Heiltsuk root of kánán‟a
(100)	Nuxalk	cited form	kap‟ay	'humpback salmon'
(100)	Heiltsuk	cited form	k‟áp‟i	the Heiltsuk cognate of kap‟ay
(100)	Heiltsuk	root	√k‟ap	the Heiltsuk root of k‟áp‟i
(101)	Nuxalk	cited form	kʷaʔyalaqs	'bluejay'
(101)	Heiltsuk	cited form	kʷáy‟alaqs	the Heiltsuk cognate of kʷaʔyalaqs
(102)	Nuxalk	cited form	k‟ʷlsi	'fish gills'
(102)	Heiltsuk	cited form	k‟ʷ ʒí	the Heiltsuk cognate of k‟ʷlsi
(102)	Heiltsuk	root	√k‟ʷnc	the Heiltsuk root of the fish gills cognate
(103)	Nuxalk	cited form	k‟aqas	'crow'
